Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231213053334_aedky,20231213053334_aedky,2023-12-13 05:33:37,True,dtlz1,2,2,0,1,rate with one time change when fails,0.4,11,250,0.007705255844545617,0.0018706110923387526,0.23193129393673914,987.3094818592072
20231203203308_6609,20231203203308_6609,,,dtlz7,3,5,2,,,0.0,15,300,0.798506420211128,0.016167251456972176,0.15444706831433996,609.8967559337616
20231213081159_vs5zz,20231213081159_vs5zz,2023-12-13 08:12:02,True,dtlz1,2,2,4,0,continuous change when fails,0.2,11,250,0.08165117073003382,0.014502158524350536,0.20250223443222654,1248.7641444206238
20231213193115_xsmi4,20231213193115_xsmi4,2023-12-13 19:31:20,True,dtlz1,2,3,0,1,continuous change when fails,0.4,11,250,0.009289838364407318,0.0028938526984505553,0.23097607877781215,1143.3181953430176
20231213130414_enwbt,20231213130414_enwbt,2023-12-13 13:04:16,True,dtlz1,2,2,4,1,rate with one time change when fails,0.6,11,250,0.011721884263707847,0.002121156621021498,0.23043959959398064,1183.8753788471222
20231204184621_7919,20231204184621_7919,,,dtlz4,2,2,2,,,0.5,11,300,0.010526604251877063,0.0037593243393777395,0.41387889049399673,1823.8212890625
20231213140213_r0k11,20231213140213_r0k11,2023-12-13 14:02:15,True,dtlz1,2,2,4,1,rate with one time change when fails,0.8,11,250,0.009982656933709384,0.0032729342005795993,0.23122056850718076,1049.0329580307007
20231130004227,,,,,,,,,,,,,0.2908962873128966,0.029172838973830353,0.12320728576020387,108.11540651321411
20231212151411_26497,20231212151411_26497,2023-12-12 15:14:16,False,dtlz7,3,3,4,0,no change,0.5,15,50,0.7880094504187024,0.07019600670032257,0.22684274179335423,74.46171021461487
20231130154054,20231130154054,,,dtlz1,3,5,2,,,,,250,0.24266806699614468,0.019669584980090662,0.1471674293116393,880.7003929615021
